Año,Media_Anual,Total_Anual,Tasa_Variación
2006,852.41,4.13e+18,
2007,687.28,3.15e+18,-19.37
2008,674.59,3.08e+18,-1.85
2009,677.20,3.14e+18,0.39
2010,557.70,2.46e+18,-17.65
2011,646.05,2.96e+18,15.84
2012,652.89,2.99e+18,1.06
2013,762.78,3.58e+18,16.83
2014,740.07,3.46e+18,-2.98
2015,665.48,3.07e+18,-10.08
2016,787.17,3.76e+18,18.29
2017,655.38,3.02e+18,-16.74
2018,731.50,3.45e+18,11.61
2019,763.29,3.57e+18,4.35
2020,723.90,3.39e+18,-5.16
2021,655.81,3.01e+18,-9.41
2022,900.00,4.32e+18,37.23
2023,551.88,2.41e+18,-38.68
2024,631.01,2.85e+18,14.34
2025,631.57,2.87e+18,0.09
2026,711.13,3.31e+18,12.60
2027,882.81,4.25e+18,24.14
2028,597.70,2.69e+18,-32.30
2029,628.96,2.86e+18,5.23
2030,799.52,3.79e+18,27.12
2031,790.13,3.75e+18,-1.18
2032,812.06,3.88e+18,2.78
2033,766.50,3.59e+18,-5.61
2034,627.09,2.83e+18,-18.19
2035,632.49,2.88e+18,0.86
2036,707.92,3.32e+18,11.92
2037,699.55,3.27e+18,-1.18
2038,645.92,2.95e+18,-7.67
2039,829.41,3.99e+18,28.41
2040,716.91,3.29e+18,-13.56
2041,564.65,2.49e+18,-21.24
2042,663.02,3.07e+18,17.42
2043,721.86,3.38e+18,8.87
2044,631.44,2.88e+18,-12.53
2045,650.94,2.96e+18,3.09
2046,698.89,3.23e+18,7.37
2047,690.27,3.21e+18,-1.23
2048,664.79,3.05e+18,-3.69
2049,743.05,3.43e+18,11.77
2050,670.13,3.10e+18,-9.81
2051,631.59,2.86e+18,-5.75
2052,570.73,2.54e+18,-9.64
2053,687.61,3.17e+18,20.48
2054,800.94,3.83e+18,16.48
2055,639.64,2.92e+18,-20.14
2056,814.92,3.87e+18,27.40
2057,751.86,3.56e+18,-7.74
2058,617.51,2.79e+18,-17.87
2059,556.56,2.45e+18,-9.87
2060,573.14,2.54e+18,2.98
2061,597.89,2.68e+18,4.32
2062,615.56,2.78e+18,2.96
2063,672.61,3.10e+18,9.27
2064,581.49,2.60e+18,-13.55
2065,630.69,2.86e+18,8.46
2066,664.73,3.05e+18,5.40
2067,782.64,3.68e+18,17.74
2068,624.81,2.84e+18,-20.17
2069,584.97,2.60e+18,-6.38
2070,707.03,3.31e+18,20.87
2071,788.40,3.74e+18,11.51
2072,570.38,2.53e+18,-27.65
2073,625.84,2.83e+18,9.72
2074,662.33,3.03e+18,5.83
2075,652.92,2.96e+18,-1.42
2076,486.13,2.05e+18,-25.54
2077,635.82,2.87e+18,30.79
2078,724.26,3.41e+18,13.91
2079,450.00,1.85e+18,-37.87
2080,678.33,3.11e+18,50.74
2081,837.77,4.04e+18,23.51
2082,576.29,2.56e+18,-31.21
2083,810.92,3.84e+18,40.71
2084,594.60,2.67e+18,-26.68
2085,652.71,2.99e+18,9.77
2086,547.60,2.39e+18,-16.10
2087,521.10,2.26e+18,-4.84
2088,544.84,2.37e+18,4.56
2089,688.65,3.17e+18,26.39
2090,663.05,3.04e+18,-3.72
2091,580.14,2.55e+18,-12.50
2092,838.68,4.01e+18,44.57
2093,594.53,2.66e+18,-29.11
2094,590.22,2.64e+18,-0.73
2095,617.92,2.80e+18,4.69
2096,474.02,1.99e+18,-23.29
2097,477.78,2.01e+18,0.79
2098,536.31,2.34e+18,12.25
2099,679.03,3.15e+18,26.61
2100,667.62,3.07e+18,-1.68
