Region  Year
P1      2006     6.583333
        2007     8.437500
        2008     6.119792
        2009     8.927083
        2010     7.286458
        2011     6.098958
        2012     6.776042
        2013     6.083333
        2014     7.932292
        2015     5.661458
        2016     8.921875
        2017     6.458333
        2018     6.567708
        2019     7.135417
        2020     7.635417
        2021     4.671875
        2022     6.005208
        2023     5.937500
        2024     3.963542
        2025     6.338542
        2026     5.244792
        2027     6.145833
        2028     6.786458
        2029     5.572917
        2030     4.854167
        2031     7.427083
        2032     5.723958
        2033     5.078125
        2034     4.390625
        2035     5.911458
        2036     6.625000
        2037     6.546875
        2038     3.385417
        2039     6.218750
        2040     6.864583
        2041     5.500000
        2042     8.213542
        2043     5.802083
        2044     6.411458
        2045     5.984375
        2046     8.432292
        2047     5.515625
        2048     6.093750
        2049     7.453125
        2050     5.953125
        2051     5.817708
        2052     5.588542
        2053     6.265625
        2054     5.531250
        2055     4.880208
        2056     5.218750
        2057     6.166667
        2058     6.656250
        2059     4.567708
        2060     6.942708
        2061     6.406250
        2062     3.895833
        2063     4.640625
        2064     4.916667
        2065     4.494792
        2066     4.625000
        2067     4.796875
        2068     4.760417
        2069     4.171875
        2070     5.562500
        2071     7.354167
        2072     4.869792
        2073     5.093750
        2074     4.911458
        2075     4.854167
        2076     4.302083
        2077     5.968750
        2078     4.500000
        2079     4.953125
        2080     4.927083
        2081     6.026042
        2082     4.322917
        2083     7.369792
        2084     2.656250
        2085     4.708333
        2086     4.140625
        2087     3.744792
        2088     4.380208
        2089     6.578125
        2090     4.510417
        2091     4.552083
        2092     4.869792
        2093     3.609375
        2094     4.552083
        2095     4.588542
        2096     4.526042
        2097     5.593750
        2098     2.927083
        2099     5.770833
        2100     5.098958
P3      2006    28.291667
        2007    17.796875
        2008    17.927083
        2009    16.083333
        2010    12.807292
        2011    16.458333
        2012    17.526042
        2013    19.484375
        2014    20.552083
        2015    17.390625
        2016    29.296875
        2017    20.031250
        2018    19.395833
        2019    30.609375
        2020    22.708333
        2021    15.020833
        2022    28.723958
        2023    11.218750
        2024    15.161458
        2025    16.453125
        2026    18.317708
        2027    27.994792
        2028    12.963542
        2029    13.651042
        2030    20.593750
        2031    21.776042
        2032    19.984375
