,,Annual_Total,Annual_Total,Annual_Mean,Annual_Mean
,,sum,mean,sum,mean
Region,Year,,,,
P1,2006,1264,105.33333333333333,79.0,6.583333333333333
P1,2007,1620,135.0,101.25,8.4375
P1,2008,1175,97.91666666666667,73.4375,6.119791666666667
P1,2009,1714,142.83333333333334,107.125,8.927083333333334
P1,2010,1399,116.58333333333333,87.4375,7.286458333333333
P1,2011,1171,97.58333333333333,73.1875,6.098958333333333
P1,2012,1301,108.41666666666667,81.3125,6.776041666666667
P1,2013,1168,97.33333333333333,73.0,6.083333333333333
P1,2014,1523,126.91666666666667,95.1875,7.932291666666667
P1,2015,1087,90.58333333333333,67.9375,5.661458333333333
P1,2016,1713,142.75,107.0625,8.921875
P1,2017,1240,103.33333333333333,77.5,6.458333333333333
P1,2018,1261,105.08333333333333,78.8125,6.567708333333333
P1,2019,1370,114.16666666666667,85.625,7.135416666666667
P1,2020,1466,122.16666666666667,91.625,7.635416666666667
P1,2021,897,74.75,56.0625,4.671875
P1,2022,1153,96.08333333333333,72.0625,6.005208333333333
P1,2023,1140,95.0,71.25,5.9375
P1,2024,761,63.416666666666664,47.5625,3.9635416666666665
P1,2025,1217,101.41666666666667,76.0625,6.338541666666667
P1,2026,1007,83.91666666666667,62.9375,5.244791666666667
P1,2027,1180,98.33333333333333,73.75,6.145833333333333
P1,2028,1303,108.58333333333333,81.4375,6.786458333333333
P1,2029,1070,89.16666666666667,66.875,5.572916666666667
P1,2030,932,77.66666666666667,58.25,4.854166666666667
P1,2031,1426,118.83333333333333,89.125,7.427083333333333
P1,2032,1099,91.58333333333333,68.6875,5.723958333333333
P1,2033,975,81.25,60.9375,5.078125
P1,2034,843,70.25,52.6875,4.390625
P1,2035,1135,94.58333333333333,70.9375,5.911458333333333
P1,2036,1272,106.0,79.5,6.625
P1,2037,1257,104.75,78.5625,6.546875
P1,2038,650,54.166666666666664,40.625,3.3854166666666665
P1,2039,1194,99.5,74.625,6.21875
P1,2040,1318,109.83333333333333,82.375,6.864583333333333
P1,2041,1056,88.0,66.0,5.5
P1,2042,1577,131.41666666666666,98.5625,8.213541666666666
P1,2043,1114,92.83333333333333,69.625,5.802083333333333
P1,2044,1231,102.58333333333333,76.9375,6.411458333333333
P1,2045,1149,95.75,71.8125,5.984375
P1,2046,1619,134.91666666666666,101.1875,8.432291666666666
P1,2047,1059,88.25,66.1875,5.515625
P1,2048,1170,97.5,73.125,6.09375
P1,2049,1431,119.25,89.4375,7.453125
P1,2050,1143,95.25,71.4375,5.953125
P1,2051,1117,93.08333333333333,69.8125,5.817708333333333
P1,2052,1073,89.41666666666667,67.0625,5.588541666666667
P1,2053,1203,100.25,75.1875,6.265625
P1,2054,1062,88.5,66.375,5.53125
P1,2055,937,78.08333333333333,58.5625,4.880208333333333
P1,2056,1002,83.5,62.625,5.21875
